weighting_scheme,category,grouping_mode,group_item,unweighted_share,weighted_share
0.20_sigma_corr,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SDI (AIM/Hub-Global),0.9523809523809524,1.4894756451962883
0.20_sigma_corr,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SHAPE [JPI Climate],0.9523809523809524,0.8526934773156176
0.20_sigma_corr,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SSP,3.3333333333333335,3.88205075182533
0.20_sigma_corr,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,SSP-2021 (IMAGE),7.142857142857142,8.52881953686149
0.20_sigma_corr,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,UFOPLAN (REMIND-MAgPIE),0.9523809523809524,0.40117107027989724
0.20_sigma_corr,GW2,Model_family,GCAM,16.666666666666664,20.105916475545044
0.20_sigma_corr,GW2,Model_family,IMAGE,44.44444444444444,43.623655282456305
0.20_sigma_corr,GW2,Model_family,MESSAGE,11.11111111111111,10.416046684741397
0.20_sigma_corr,GW2,Model_family,REMIND,11.11111111111111,10.543305432238952
0.20_sigma_corr,GW2,Model_family,WITCH,16.666666666666664,15.311076125018296
0.20_sigma_corr,GW2,Model_type,IT_GE,38.88888888888889,36.27042824199865
0.20_sigma_corr,GW2,Model_type,RD_PE,61.111111111111114,63.72957175800135
0.20_sigma_corr,GW2,Project,ENGAGE [Horizon 2020],16.666666666666664,15.3110761250183
0.20_sigma_corr,GW2,Project,NAVIGATE [Horizon 2020],11.11111111111111,11.051731581195051
0.20_sigma_corr,GW2,Project,NGFS Phase 5,33.33333333333333,34.80748360545456
0.20_sigma_corr,GW2,Project,SSP,5.555555555555555,6.257784987070841
0.20_sigma_corr,GW2,Project,SSP-2021 (IMAGE),33.33333333333333,32.571923701261255
0.20_sigma_corr,GW3,Model_family,GCAM,6.349206349206349,7.097945204840938
0.20_sigma_corr,GW3,Model_family,IMAGE,22.22222222222222,19.96735999178989
0.20_sigma_corr,GW3,Model_family,MESSAGE,11.11111111111111,12.06682201087718
0.20_sigma_corr,GW3,Model_family,POLES,22.22222222222222,25.09187131314335
0.20_sigma_corr,GW3,Model_family,REMIND,15.873015873015872,16.317982419679588
0.20_sigma_corr,GW3,Model_family,WITCH,22.22222222222222,19.45801905966906
0.20_sigma_corr,GW3,Model_type,IT_GE,49.2063492063492,47.842823490225825
0.20_sigma_corr,GW3,Model_type,RD_PE,50.79365079365079,52.157176509774175
0.20_sigma_corr,GW3,Project,COMMIT [Horizon 2020],7.936507936507936,8.613212419012726
0.20_sigma_corr,GW3,Project,EMF30,1.5873015873015872,1.1820038088933955
0.20_sigma_corr,GW3,Project,EMF33,3.1746031746031744,3.1184744104053985
0.20_sigma_corr,GW3,Project,ENGAGE [Horizon 2020],42.857142857142854,40.98788987357518
0.20_sigma_corr,GW3,Project,NAVIGATE [Horizon 2020],12.698412698412698,13.412029953268009
0.20_sigma_corr,GW3,Project,NGFS Phase 2,3.1746031746031744,3.742155655260984
0.20_sigma_corr,GW3,Project,NGFS Phase 5,9.523809523809524,9.025681256690847
0.20_sigma_corr,GW3,Project,RESCUE [Horizon Europe],6.349206349206349,7.453751166503893
0.20_sigma_corr,GW3,Project,SSP,1.5873015873015872,1.8228067649381618
0.20_sigma_corr,GW3,Project,SSP-2021 (IMAGE),11.11111111111111,10.641994691451416
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,AIM,0.9523809523809524,0.991060591061951
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,GCAM,4.761904761904762,4.767787451414331
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,IMAGE,17.61904761904762,17.914334614799003
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,MESSAGE,7.6190476190476195,8.182919117709902
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,POLES,24.285714285714285,21.85246486450347
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,REMIND,26.190476190476193,27.96933949546095
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_family,WITCH,18.571428571428573,18.32209386505039
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_type,IT_GE,52.38095238095239,54.47435247822124
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_type,RD_CGE,0.9523809523809524,0.991060591061951
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Model_type,RD_PE,46.666666666666664,44.5345869307168
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,ADVANCE [EU FP7],0.9523809523809524,1.0075810998282042
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,BEG (REMIND),0.9523809523809524,1.0040554639763812
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,CD-LINKS [Horizon 2020],0.4761904761904762,0.5059566040573771
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,CEMICS (REMIND),0.4761904761904762,0.49727810445014925
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,COMMIT [Horizon 2020],5.238095238095238,4.957075710717169
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,COVID-Shift (MESSAGEix-GLOBIOM),2.857142857142857,3.077128246225257
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,Deep-Electrification (REMIND-MAgPIE),0.9523809523809524,1.0108092188007787
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,EMF30,5.238095238095238,5.5431962408695306
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,EMF33,3.3333333333333335,3.6121881637504156
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,ENGAGE [Horizon 2020],45.714285714285715,43.3625920376586
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,LeastTotalCost (REMIND-MAgPIE),2.857142857142857,3.062954658796823
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,NAVIGATE [Horizon 2020],6.190476190476191,6.37629058911777
0.10_sigma_within_model,"['GW0, GW1', 'GW2', 'GW3', 'GW4', 'GW5', 'GW6', 'GW7', 'GW8']",Project,NGFS Phase 2,3.3333333333333335,3.5395676438028705
